date,px_spy,px_ief,px_shy,ret_spy,ret_ief,ret_shy
2004-01-31,75.7563705444336,47.605369567871094,55.09587097167969,,,
2004-02-29,76.78437805175781,48.37267303466797,55.362483978271484,0.013569914977926034,0.016118002522865105,0.004839074179058489
2004-03-31,75.76736450195312,49.00006103515625,55.51836395263672,-0.013245058117409614,0.012969884877741755,0.002815624646220982
2004-04-30,74.33375549316406,46.870399475097656,54.92869186401367,-0.018921194081550907,-0.043462426680052846,-0.010621207950689993
2004-05-31,75.60658264160156,46.62150573730469,54.926002502441406,0.017123137933674704,-0.005310254245330381,-4.896096158490959e-05
2004-06-30,77.00540924072266,46.92606735229492,54.91522979736328,0.018501386390546992,0.00653264218247962,-0.000196131241803843
2004-07-31,74.52438354492188,47.49464797973633,55.068050384521484,-0.0322188495621778,0.01211651986885709,0.002782845263911593
2004-08-31,74.70589447021484,48.838645935058594,55.474788665771484,0.0024355910999727115,0.028297882234976868,0.007386102802076522
2004-09-30,75.45574188232422,48.9961051940918,55.42212677001953,0.010037325935617236,0.0032240709384649957,-0.0009492942112719893
2004-10-31,76.42799377441406,49.48078155517578,55.585811614990234,0.012885061730704361,0.009892140592890009,0.0029534204930448116
2004-11-30,79.8303451538086,48.502159118652344,55.265926361083984,0.04451708348431804,-0.019777829002805447,-0.0057548004537902875
2004-12-31,82.23493194580078,49.068321228027344,55.394309997558594,0.030121212520868967,0.011672925899854913,0.0023230160955922674
2005-01-31,80.39117431640625,49.49570083618164,55.373897552490234,-0.02242061354911451,0.008709888528042553,-0.00036849353425039144
2005-02-28,82.07164001464844,48.81842041015625,55.2314338684082,0.02090360928959889,-0.013683621296060045,-0.002572758833654154
2005-03-31,80.57030487060547,48.621456146240234,55.24030685424805,-0.018292983346927194,-0.00403463000771398,0.0001606510137142081
2005-04-30,79.06083679199219,49.84504318237305,55.527870178222656,-0.01873479417804691,0.0251655777739892,0.005205679337251912
2005-05-31,81.60853576660156,50.761260986328125,55.74746322631836,0.0322245384438864,0.018381322303259395,0.003954645611129903
2005-06-30,81.732177734375,51.00410461425781,55.885040283203125,0.0015150617102976938,0.004784034580919805,0.0024678621935898537
2005-07-31,84.8593521118164,49.888729095458984,55.6754150390625,0.03826123889179289,-0.02186834818951089,-0.003751008196081207
2005-08-31,84.06385040283203,50.8867301940918,56.04237747192383,-0.009374355202902862,0.020004540438847362,0.006591103678416532
2005-09-30,84.73847961425781,49.99506378173828,55.874698638916016,0.008025199990161935,-0.01752257236714816,-0.0029920007068189314
2005-10-31,82.73433685302734,49.37548828125,55.82881164550781,-0.023650917155389473,-0.01239273347451142,-0.0008212481592919652
2005-11-30,86.37071228027344,49.68425369262695,56.0462646484375,0.04395243336156662,0.006253414844592076,0.0038949960875118705
2005-12-31,86.20545196533203,50.36286544799805,56.24200439453125,-0.0019133837220786098,0.013658487446935208,0.003492467291470236
2006-01-31,88.27561950683594,50.008705139160156,56.34016418457031,0.024014345894693978,-0.007032171535266918,0.0017453110196870014
2006-02-28,88.78106689453125,49.956974029541016,56.35918426513672,0.005725786921905174,-0.0010344420931353016,0.0003375936304355065
2006-03-31,90.2462158203125,49.27861404418945,56.45728302001953,0.016502943443130746,-0.013578884600785268,0.0017405992681036597
2006-04-30,91.38622283935547,48.969547271728516,56.581932067871094,0.01263218638787933,-0.006271823557857936,0.002207847086926895
2006-05-31,88.63360595703125,48.917240142822266,56.6763801574707,-0.030120698687404412,-0.0010681562689562885,0.0016692270155482802
2006-06-30,88.86473846435547,49.0295524597168,56.81045913696289,0.002607729933003844,0.002295965932800348,0.0023656941237188978
2006-07-31,89.26274108886719,49.851993560791016,57.188201904296875,0.004478746366550768,0.016774395437322065,0.006649176455752581
2006-08-31,91.21064758300781,50.73109436035156,57.61823654174805,0.02182216757382971,0.017634215540218046,0.0075196390711991246
2006-09-30,93.6734848022461,51.34375,57.87114334106445,0.027001641633965345,0.012076531117122036,0.00438935334532764
2006-10-31,96.62574005126953,51.620201110839844,58.11272048950195,0.031516445184631925,0.0053843186529975995,0.004174397367851634
2006-11-30,98.54718017578125,52.29715347290039,58.3936882019043,0.019885385855696436,0.013114097727108476,0.00483487453410647
2006-12-31,99.86492919921875,51.63008117675781,58.43207931518555,0.0133717577822825,-0.012755422653897286,0.0006574531334364586
2007-01-31,101.36690521240234,51.423397064208984,58.5271110534668,0.015040074881416343,-0.004003172333609806,0.0016263624261707577
2007-02-28,99.37836456298828,52.48018264770508,58.95260238647461,-0.01961725718317342,0.020550676225776332,0.007269986940225293
2007-03-31,100.5300064086914,52.40765380859375,59.218231201171875,0.011588456408670122,-0.0013820233743888632,0.0045058030340354716
2007-04-30,104.98309326171875,52.72547149658203,59.399200439453125,0.04429609638065579,0.006064337265488717,0.0030559716933535874
2007-05-31,108.54415130615234,51.99074172973633,59.35920715332031,0.03392030024830772,-0.013935006098396485,-0.0006732967083215025
2007-06-30,106.95713806152344,51.74761199951172,59.641178131103516,-0.014620900578536822,-0.00467640433922778,0.0047502483827805975
2007-07-31,103.6082763671875,52.91545486450195,60.18038558959961,-0.0313103150947216,0.022568053285265677,0.009040858604617119
2007-08-31,104.93785858154297,54.11296081542969,60.81161880493164,0.012832779976412523,0.022630551962449008,0.010489019123884225
2007-09-30,109.00045013427734,54.160762786865234,61.1472282409668,0.03871426011211665,0.0008833737928071184,0.0055188373970394
2007-10-31,110.47921752929688,54.744022369384766,61.43951416015625,0.0135666173231197,0.010769042984397847,0.004780035458641363
2007-11-30,106.20004272460938,56.95986557006836,62.54096984863281,-0.03873284858804105,0.040476441167077715,0.017927480442071264
2007-12-31,105.00422668457031,56.988685607910156,62.728389739990234,-0.011260033511850565,0.000505970959610913,0.0029967538369013447
2008-01-31,98.65550994873047,58.901161193847656,63.7663688659668,-0.06046153508573715,0.033558864633158825,0.016547198649271788
2008-02-29,96.1059799194336,59.63106918334961,64.42520141601562,-0.025842753543332986,0.0123920814922438,0.010331975330658327
2008-03-31,95.24661254882812,60.42856216430664,64.58850860595703,-0.00894187199720442,0.013373783027518016,0.002534833983472984
2008-04-30,99.78630828857422,58.96774673461914,64.04762268066406,0.04766254272212378,-0.02417425431562492,-0.008374336812649097
2008-05-31,101.2947006225586,57.91961669921875,63.82589340209961,0.015116225460733768,-0.017774632632944876,-0.0034619439299093946
2008-06-30,92.82891845703125,58.58329772949219,63.982666015625,-0.08357576569649283,0.011458657154448826,0.0024562541183361652
2008-07-31,91.9947738647461,59.0054817199707,64.2604751586914,-0.008985826896941274,0.007206558982526756,0.004341943847706586
2008-08-31,93.41644287109375,59.906280517578125,64.56013488769531,0.015453801847894466,0.015266357825573618,0.0046632043766232645
2008-09-30,84.61906433105469,59.822208404541016,65.0623779296875,-0.09417376930289079,-0.001403393973231859,0.007779460852519238
2008-10-31,70.64111328125,59.30601119995117,65.78113555908203,-0.165186783383929,-0.008628855710225869,0.01104720811420834
2008-11-30,65.72404479980469,63.9044189453125,66.50818634033203,-0.06960632771837183,0.07753695877231936,0.011052572672555883
2008-12-31,66.36790466308594,67.19950866699219,66.8826675415039,0.009796412640799002,0.05156278354552479,0.005630603114864741
2009-01-31,60.91814422607422,64.58734130859375,66.59034729003906,-0.08211439647940089,-0.03887182228285413,-0.004370642831843519
2009-02-28,54.372528076171875,64.11273193359375,66.4937973022461,-0.10744936887129741,-0.00734833429251025,-0.0014499096599156491
2009-03-31,58.9023551940918,66.23722076416016,66.82585906982422,0.08331095275860578,0.03313676966326895,0.004993875835797912
2009-04-30,64.75408172607422,64.41888427734375,66.71548461914062,0.099346223299563,-0.02745188378737473,-0.001651672753929967
2009-05-31,68.53916931152344,63.08066177368164,66.75291442871094,0.05845326633556591,-0.020773760965816068,0.0005610363138930374
2009-06-30,68.49430847167969,62.729278564453125,66.68997955322266,-0.0006545285023786818,-0.005570379246958357,-0.0009428034120591011
2009-07-31,73.60436248779297,63.250919342041016,66.76338958740234,0.0746055275268036,0.008315746482751463,0.0011007655823480622
2009-08-31,76.32328796386719,63.73379898071289,67.03655242919922,0.03693973270300588,0.007634349724793932,0.0040915064900841625
2009-09-30,79.02948760986328,64.45042419433594,67.19491577148438,0.03545706321348807,0.011244037309621424,0.002362343177662929
2009-10-31,77.51011657714844,64.3615493774414,67.28624725341797,-0.01922536863980906,-0.0013789640332939612,0.0013592022682815674
2009-11-30,82.2852783203125,65.65977478027344,67.68754577636719,0.061606948280243934,0.020170822725517734,0.005964049703022001
2009-12-31,83.85700988769531,62.768882751464844,67.11849212646484,0.019101005665491222,-0.04402835736922328,-0.008407065781088296
2010-01-31,80.80944061279297,64.25666809082031,67.65252685546875,-0.03634245102447331,0.023702593930919447,0.007956596045061382
2010-02-28,83.33027648925781,64.46992492675781,67.76100158691406,0.031194819037836163,0.003318828104128979,0.0016034099018511494
2010-03-31,88.40338897705078,63.788551330566406,67.57862091064453,0.06087958304622876,-0.010568859774003014,-0.00269152863739186
2010-04-30,89.77098083496094,64.84282684326172,67.78145599365234,0.015469903062937718,0.016527660382688714,0.003001468219897774
2010-05-31,82.6383056640625,66.74478912353516,68.08838653564453,-0.07945412988203249,0.029331884078263037,0.004528237664604529
2010-06-30,78.36249542236328,68.77936553955078,68.37374877929688,-0.05174126220691222,0.03048292522506757,0.004191056040121488
2010-07-31,83.7146987915039,69.40497589111328,68.50635528564453,0.06830057338389972,0.009095901752724789,0.0019394359489588453
