Date,AAPL,MSFT,GOOG,AMZN,TSLA,TCEHY,NVDA,TSM,META,BABA,ASML,AVGO,ORCL,CSCO,ADBE,CRM,NFLX,TXN,QCOM,SAP
2019-01-02 00:00:00-05:00,37.61785125732422,94.94552612304688,52.04598617553711,76.95649719238281,20.674667358398438,36.463443756103516,3.377779245376587,31.5352725982666,135.0435333251953,132.01754760742188,146.28515625,21.129236221313477,40.91197967529297,35.265655517578125,224.57000732421875,134.5856170654297,267.6600036621094,78.68294525146484,49.28059768676758,89.55760955810547
2019-01-03 00:00:00-05:00,33.87084197998047,91.45266723632812,50.563507080078125,75.01399993896484,20.02400016784668,35.4298095703125,3.173703908920288,29.67010498046875,131.1220245361328,126.12651062011719,138.21749877929688,19.249767303466797,40.5139045715332,33.98310852050781,215.6999969482422,129.47227478027344,271.20001220703125,74.04277038574219,47.82106399536133,86.19852447509766
2019-01-04 00:00:00-05:00,35.3167610168457,95.7060546875,53.28312683105469,78.76950073242188,21.179332733154297,37.48785400390625,3.3770358562469482,30.196842193603516,137.30288696289062,134.9630889892578,144.1980438232422,19.4389705657959,42.260047912597656,35.513877868652344,226.19000244140625,136.97850036621094,297.57000732421875,77.39170837402344,48.59375762939453,89.1603012084961
2019-01-07 00:00:00-05:00,35.23814392089844,95.82810974121094,53.16767120361328,81.47550201416016,22.33066749572754,37.74626541137695,3.5558176040649414,30.421348571777344,137.40243530273438,138.19834899902344,147.4925079345703,19.834867477416992,42.929542541503906,35.753841400146484,229.25999450683594,141.2081756591797,315.3399963378906,78.72460174560547,48.45638656616211,90.03618621826172
2019-01-08 00:00:00-05:00,35.90990447998047,96.5229263305664,53.56031036376953,82.8290023803711,22.356666564941406,37.617061614990234,3.467294454574585,30.170934677124023,141.86141967773438,141.76194763183594,146.40684509277344,19.675670623779297,43.31857681274414,36.0434455871582,232.67999267578125,144.68328857421875,320.2699890136719,78.62464141845703,48.03570556640625,91.44483184814453
2019-01-09 00:00:00-05:00,36.51970672607422,97.9031753540039,53.47969436645508,82.97100067138672,22.568666458129883,39.066001892089844,3.535485029220581,30.74949073791504,143.55343627929688,146.71621704101562,152.48101806640625,20.526641845703125,43.22809982299805,35.84486770629883,235.42999267578125,144.9513702392578,319.9599914550781,80.17411804199219,48.60235595703125,92.69094848632812
2019-01-10 00:00:00-05:00,36.636436462402344,97.2740707397461,53.264217376708984,82.81099700927734,22.99799919128418,39.17674255371094,3.6011953353881836,31.448932647705078,143.52359008789062,146.49411010742188,152.1908416748047,20.79668426513672,43.26429748535156,35.77867126464844,237.77000427246094,145.99388122558594,324.6600036621094,81.40705871582031,48.76547622680664,93.31400299072266
2019-01-11 00:00:00-05:00,36.27672576904297,96.5229263305664,52.610313415527344,82.02799987792969,23.150667190551758,38.86296463012695,3.690463066101074,31.612995147705078,143.12547302246094,146.1367950439453,151.638671875,20.884201049804688,43.68952178955078,35.98552703857422,237.5500030517578,146.50025939941406,337.5899963378906,82.1318359375,49.366455078125,92.0859603881836
2019-01-14 00:00:00-05:00,35.73124694824219,95.8187255859375,51.98826217651367,80.8604965209961,22.293333053588867,38.15233612060547,3.7303860187530518,30.879009246826172,144.7079620361328,144.15701293945312,148.52203369140625,20.909210205078125,43.589996337890625,35.753841400146484,234.55999755859375,145.01092529296875,332.94000244140625,80.24911499023438,49.19474792480469,91.30036163330078
2019-01-15 00:00:00-05:00,36.46254348754883,98.59798431396484,53.60360336303711,83.72799682617188,22.961999893188477,38.853736877441406,3.716252088546753,31.12078857421875,148.2512969970703,145.71185302734375,149.0274200439453,21.377614974975586,43.944236755371094,36.42406463623047,242.36000061035156,148.12860107421875,354.6400146484375,81.33209228515625,47.846832275390625,92.49230194091797
